"","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","Response","Age","Total_Purchaase","Is_Parent","Has_Partner","Family_Size","campaign_participation","cluster"
"1",1957,"Graduate","Single",58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,57,1705,0,0,0,1,"3"
"2",1954,"Graduate","Single",46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,60,28,1,0,2,0,"4"
"3",1965,"Graduate","Together",71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,49,797,0,1,1,0,"3"
"4",1984,"Graduate","Together",26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,30,56,1,1,2,0,"1"
"5",1981,"Postgraduate","Married",58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,33,449,1,1,2,0,"2"
"6",1967,"Postgraduate","Together",62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,47,758,1,1,2,0,"2"
"7",1971,"Graduate","Divorced",55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,43,639,1,0,1,0,"4"
"8",1985,"Postgraduate","Married",33454,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,29,170,1,1,2,0,"1"
"9",1974,"Postgraduate","Together",30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,40,49,1,1,2,1,"2"
"10",1950,"Postgraduate","Together",5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,64,50,1,1,3,1,"2"
"11",1976,"Undergraduate","Married",7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,38,62,0,1,1,0,"1"
"12",1959,"Graduate","Divorced",63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,55,1214,0,0,0,0,"3"
"13",1952,"Postgraduate","Divorced",59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,62,315,1,0,2,0,"4"
"14",1987,"Graduate","Married",17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,27,47,0,1,1,0,"1"
"15",1946,"Postgraduate","Single",82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,68,1383,0,0,0,1,"3"
"16",1980,"Graduate","Married",41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,34,109,1,1,3,0,"1"
"17",1946,"Graduate","Together",37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,68,329,0,1,1,0,"4"
"18",1949,"Postgraduate","Married",76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,65,1798,1,1,2,1,"2"
"19",1985,"Undergraduate","Single",33812,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,29,157,1,0,1,0,"4"
"20",1982,"Graduate","Married",37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,32,354,0,1,1,0,"1"
"21",1979,"Graduate","Married",2447,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,35,1731,1,1,2,0,"1"
"22",1949,"Postgraduate","Married",58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,65,972,1,1,2,1,"2"
"23",1954,"Postgraduate","Married",65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,60,576,1,1,2,0,"2"
"24",1951,"Graduate","Together",40689,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,63,450,1,1,2,0,"2"
"25",1969,"Graduate","Single",18589,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,45,87,0,0,0,0,"4"
